color,movie_title,title_year,director_name,duration,genres,actor_1_name,actor_2_name,actor_3_name,language,country,num_voted_users,imdb_score,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,movie_facebook_likes,facenumber_in_poster,budget,gross,aspect_ratio,content_rating,num_user_for_reviews
Color,Neerali,2018,Ajoy Varma,128,Action|Adventure|Drama|Thriller,Mohanlal,Suraaj Venjarammoodu,Parvatii Nair,Malayalam,India,1889,6.1,3000,1000,1000,3000,2,20,25,1.24,UA,234
Color,Theevandi,2018,Fellini T.P.,144,Comedy,Tovino Thomas,Samyuktha Menon,Saiju Kurup,Malayalam,India,1037,6.7,3000,2400,1000,1000,2,90,110,1.24,U,1000
