movie_name,actor1,actor2,actor3
Theevandi,Tovino Thomas,Samyuktha Menon,Saiju Kurup
movie_name,actor1,actor2,actor3
Neerali,Mohanlal,Suraaj Venjarammoodu,Parvatii Nair
